
=======================
WikiArt Data Set Images
=======================

This data set was created from paintings extracted from WikiArt.org.

Please refer to https://github.com/lucasdavid/wikiart for more information
or to report a bug.

contentId,url,style,genre,artistContentId,artistUrl
337208,"no-great-crime-1983","Street art","graffiti",335710,"3d"
337204,"3d-1984","Street art","graffiti",335710,"3d"
337213,"wild-bunch-1984","Street art","graffiti",335710,"3d"
337210,"serious-art-1986","Street art","graffiti",335710,"3d"
337209,"robert-de-niro-taxi-driver-1988","Street art","graffiti",335710,"3d"
337212,"vivisection-1988","Street art","symbolic painting",335710,"3d"
337205,"agent-blue-1991","Street art","symbolic painting",335710,"3d"
337207,"naked-lunch-1994","Street art","symbolic painting",335710,"3d"
337206,"in-baghdad","Street art","symbolic painting",335710,"3d"
337211,"untitled-headz","Street art","symbolic painting",335710,"3d"
314366,"self-portrait-1574","Mannerism (Late Renaissance)","self-portrait",314332,"hans-von-aachen"
314373,"two-laughing-men-double-self-portrait-1574","Mannerism (Late Renaissance)","self-portrait",314332,"hans-von-aachen"
314345,"augustus-and-the-tiburtine-sibyl-1580","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314363,"portrait-of-jacopo-biliverti-1585","Mannerism (Late Renaissance)","portrait",314332,"hans-von-aachen"
314364,"portrait-of-joseph-heintz-1585","Mannerism (Late Renaissance)","portrait",314332,"hans-von-aachen"
314371,"the-rape-of-proserpine-1587","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314369,"the-judgment-of-paris-1588","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314354,"martyrdom-of-saint-sebastian-1590","Mannerism (Late Renaissance)","religious painting",314332,"hans-von-aachen"
314367,"the-amazement-of-the-gods-1590","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314358,"pallas-athena-venus-and-juno-1593","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314347,"bacchus-venus-and-cupid-1595","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314335,"a-couple-at-a-guesthouse-1596","Mannerism (Late Renaissance)","genre painting",314332,"hans-von-aachen"
314349,"coronation-of-mary-1596","Mannerism (Late Renaissance)","religious painting",314332,"hans-von-aachen"
314350,"couple-with-a-mirror-1596","Mannerism (Late Renaissance)","genre painting",314332,"hans-von-aachen"
314344,"allegory-or-the-triumph-of-justice-1598","Mannerism (Late Renaissance)","allegorical painting",314332,"hans-von-aachen"
314374,"venus-cupid-and-a-satyr-1598","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314336,"adonis-held-back-by-venus-while-going-hunting-1600","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314346,"bacchus-ceres-and-amor-1600","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314352,"ecce-homo-1600","Mannerism (Late Renaissance)","religious painting",314332,"hans-von-aachen"
314353,"hercules-defeating-the-vices-1600","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314368,"the-fall-of-pha-ton-1600","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314370,"the-liberation-of-andromeda-1600","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314340,"allegory-of-peace-art-and-abundance-1602","Mannerism (Late Renaissance)","allegorical painting",314332,"hans-von-aachen"
314337,"allegorie-on-the-battle-of-bra-ov-1604","Mannerism (Late Renaissance)","allegorical painting",314332,"hans-von-aachen"
314338,"allegorie-on-the-battle-of-gur-sl-u-1604","Mannerism (Late Renaissance)","allegorical painting",314332,"hans-von-aachen"
314341,"allegory-on-the-battle-of-sisak-1604","Mannerism (Late Renaissance)","allegorical painting",314332,"hans-von-aachen"
314342,"allegory-on-the-conquest-of-stuhlwei-enburg-sz-kesfeh-rv-r-1604","Mannerism (Late Renaissance)","allegorical painting",314332,"hans-von-aachen"
314343,"allegory-on-the-declaration-of-war-before-constantinople-1604","Mannerism (Late Renaissance)","allegorical painting",314332,"hans-von-aachen"
314362,"portrait-of-anna-of-austria-1585-1618-1604","Mannerism (Late Renaissance)","portrait",314332,"hans-von-aachen"
314372,"the-three-graces-1604","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314348,"boy-with-grapes-1605","Mannerism (Late Renaissance)","portrait",314332,"hans-von-aachen"
314359,"pan-and-selene-1605","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314375,"virgin-and-child-1606","Mannerism (Late Renaissance)","religious painting",314332,"hans-von-aachen"
314365,"portrait-of-rudolf-ii-holy-roman-emperor-1608","Mannerism (Late Renaissance)","portrait",314332,"hans-von-aachen"
314355,"matchmaking-scene-1610","Mannerism (Late Renaissance)","genre painting",314332,"hans-von-aachen"
314356,"matthias-holy-roman-emperor-as-king-of-bohemia-1612","Mannerism (Late Renaissance)","portrait",314332,"hans-von-aachen"
314360,"portrait-of-a-girl-maria-maxmiliana-1612","Mannerism (Late Renaissance)","portrait",314332,"hans-von-aachen"
314361,"portrait-of-a-man-possibly-johannes-kepler-1612","Mannerism (Late Renaissance)","portrait",314332,"hans-von-aachen"
314351,"david-and-bathsheba-1615","Mannerism (Late Renaissance)","religious painting",314332,"hans-von-aachen"
314357,"mercury-and-ceres-flying-through-the-air","Mannerism (Late Renaissance)","mythological painting",314332,"hans-von-aachen"
314339,"allegorie-on-the-battle-of-elimb-r-1959","Mannerism (Late Renaissance)","allegorical painting",314332,"hans-von-aachen"
316170,"carrying-the-cross-1921","Expressionism","religious painting",316166,"vilmos-aba-novak"
316176,"eta-is-bathing-1924","Expressionism","nude painting (nu)",316166,"vilmos-aba-novak"
316180,"landscape-1924","Expressionism","landscape",316166,"vilmos-aba-novak"
316172,"combing-woman-combing-the-artist-s-wife-1925","Expressionism","nude painting (nu)",316166,"vilmos-aba-novak"
