
=======================
WikiArt Data Set Labels
=======================

This data set was created from paintings extracted from WikiArt.org.

Please refer to https://github.com/lucasdavid/wikiart for more information
or to report a bug.

contentId,url,artistName,lastNameFirst,image,wikipediaUrl,birthDay,deathDay,birthDayAsString,deathDayAsString
335710,"3d","3D","3D","https://uploads3.wikiart.org/images/3d.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Robert_Del_Naja","/Date(-124502400000)/","/Date(253402300799999)/","January 21, 1966",
314332,"hans-von-aachen","Hans von Aachen","Aachen Hans von","https://uploads8.wikiart.org/temp/e4d609cf-bbc6-4559-8c18-9a29c5d3eab4.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Hans_von_Aachen","/Date(-13190860800000)/","/Date(-11197353600000)/","1552","March 4, 1615"
316166,"vilmos-aba-novak","Vilmos Aba-Novak","Aba-Novak Vilmos","https://uploads8.wikiart.org/images/vilmos-aba-novak.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Vilmos_Aba-Nov%C3%A1k","/Date(-2391984000000)/","/Date(-891734400000)/","March 15, 1894","September 29, 1941"
314212,"reza-abbasi","Reza Abbasi","Abbasi Reza","https://uploads8.wikiart.org/temp/b08c3cef-4f30-46c0-ac58-966f9dbed1cf.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Reza_Abbasi","/Date(-12780547200000)/","/Date(-10571558400000)/","c.1565","c.1635"
9223372032559822431,"louise-abbema","Louise Abbéma","Abbéma Louise","https://uploads4.wikiart.org/00141/images//louise-abb-ma-1914-2.jpg!Portrait.jpg","https://en.wikipedia.org/wiki/Louise_Abb%C3%A9ma","/Date(-3666038400000)/","/Date(-1340582400000)/","October 30, 1853","July 10, 1927"
319596,"edwin-austin-abbey","Edwin Austin Abbey","Abbey Edwin Austin","https://uploads8.wikiart.org/temp/bcff1809-4ee2-4417-ab15-2cad45c17e4f.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Edwin_Austin_Abbey","/Date(-3715891200000)/","/Date(-1843603200000)/","April 1, 1852","August 1, 1911"
9223372032559839388,"elenore-abbott","Elenore Abbott","Abbott Elenore","https://uploads2.wikiart.org/00232/images/elenore-abbott/0df6efa84168d42e89b8196f18f45055.jpg!Portrait.jpg","https://en.wikipedia.org/wiki/Elenore_Abbott","/Date(-2997907200000)/","/Date(-1104537600000)/","1875","c.1935"
9223372032559827612,"douglas-abdell","Douglas Abdell","Abdell Douglas","https://uploads8.wikiart.org/00170/images/douglas-abdell/douglas-abdell-1.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Douglas_Abdell","/Date(-719452800000)/","/Date(253402300799999)/","March 16, 1947",
303748,"basuki-abdullah","Basuki Abdullah","Abdullah Basuki","https://uploads8.wikiart.org/temp/6e163062-3790-4766-8519-23c62efc0755.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Basuki_Abdullah","/Date(-1733616000000)/","/Date(752457600000)/","January 25, 1915","November 5, 1993"
9223372032559827520,"zainul-abedin","Zainul Abedin","Abedin Zainul","https://uploads3.wikiart.org/00169/images//zainul-abedin-0-1.jpg!Portrait.jpg","https://en.wikipedia.org/wiki/Zainul_Abedin","/Date(-1735948800000)/","/Date(202089600000)/","December 29, 1914","May 28, 1976"
388659,"mher-abeghian","Mher Abeghian","Abeghian Mher Manukovich","https://uploads8.wikiart.org/temp/71aafc7c-a0bf-43b5-b53c-6eeaaab5539f.jpg!Portrait.jpg",,"/Date(-1924992000000)/","/Date(757382400000)/","1909","1994"
9223372032559834844,"marina-abramovic","Marina Abramović","Abramović Marina","https://uploads4.wikiart.org/00215/images//marina-abramovi-the-artist-is-present-viennale-2012-cropped.jpg!Portrait.jpg","https://en.wikipedia.org/wiki/Marina_Abramovi%C4%87","/Date(-728611200000)/","/Date(253402300799999)/","November 30, 1946",
319357,"petre-abrudan","Petre Abrudan","Abrudan Petre","https://uploads8.wikiart.org/temp/a6ededef-547f-4519-a2b0-674abb851636.jpg!Portrait.jpg","http://ro.wikipedia.org/wiki/Petre_Abrudan","/Date(-1988150400000)/","/Date(283996800000)/","1907","1979"
330343,"absalon","Absalon","Absalon","https://uploads8.wikiart.org/images/absalon.jpg!Portrait.jpg",,"/Date(-189388800000)/","/Date(725846400000)/","1964","1993"
319333,"carla-accardi","Carla Accardi","Accardi Carla","https://uploads8.wikiart.org/temp/fecfcc05-531b-4dca-a242-24105288ffa9.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Carla_Accardi","/Date(-1427328000000)/","/Date(253402300799999)/","October 9, 1924",
337464,"vito-acconci","Vito Acconci","Acconci Vito","https://uploads4.wikiart.org/images/vito-acconci.jpg!Portrait.jpg","http://en.wikipedia.org/wiki/Vito_Acconci","/Date(-944784000000)/","/Date(253402300799999)/","January 24, 1940",
